Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt),peak_brightness,year,month,hour,latitude,longitude
2016-01-21 16:44:54,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,46000000000.0,0.15,2016-01-21 16:44:54,2016,1,16,-10.8,0.7
2015-12-30 13:07:50,33.8N,160.7W,39.0,,,,,22000000000.0,0.079,2015-12-30 13:07:50,2015,12,13,33.8,-160.7
2015-12-21 02:32:48,5.9N,143.0E,42.2,12.1,6.4,-10.0,2.5,83000000000.0,0.26,2015-12-21 02:32:48,2015,12,2,5.9,143.0
2015-12-08 00:34:23,69.9S,150.5E,38.0,,,,,197000000000.0,0.55,2015-12-08 00:34:23,2015,12,0,-69.9,150.5
2015-11-13 14:59:27,16.0N,124.3E,28.0,,,,,102000000000.0,0.31,2015-11-13 14:59:27,2015,11,14,16.0,124.3
2015-11-02 21:34:20,41.4S,33.0E,37.0,,,,,78000000000.0,0.24,2015-11-02 21:34:20,2015,11,21,-41.4,33.0
2015-10-31 11:34:30,9.0N,138.0W,71.0,,,,,97000000000.0,0.29,2015-10-31 11:34:30,2015,10,11,9.0,-138.0
2015-10-13 12:23:08,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,23000000000.0,0.08199999999999999,2015-10-13 12:23:08,2015,10,12,-8.0,-52.5
2015-10-11 00:07:46,55.4S,18.8W,,,,,,30000000000.0,0.1,2015-10-11 00:07:46,2015,10,0,-55.4,-18.8
2015-10-10 09:57:51,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,36000000000.0,0.12,2015-10-10 09:57:51,2015,10,9,-51.0,-21.1
2015-10-04 21:02:17,22.0N,171.6W,36.1,,,,,44000000000.0,0.15,2015-10-04 21:02:17,2015,10,21,22.0,-171.6
2015-09-17 21:03:14,43.1S,94.9E,,,,,,98000000000.0,0.3,2015-09-17 21:03:14,2015,9,21,-43.1,94.9
2015-09-14 23:50:50,5.8N,15.2W,,,,,,70000000000.0,0.22,2015-09-14 23:50:50,2015,9,23,5.8,-15.2
2015-09-08 13:46:42,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,20000000000.0,0.073,2015-09-08 13:46:42,2015,9,13,6.3,29.9
2015-09-07 01:41:19,14.5N,98.9E,29.3,21.0,16.8,-12.0,-3.8,1798000000000.0,3.9,2015-09-07 01:41:19,2015,9,1,14.5,98.9
2015-09-02 20:10:30,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18.0,37000000000.0,0.13,2015-09-02 20:10:30,2015,9,20,39.1,40.2
2015-07-19 07:06:26,20.6N,87.6W,22.0,17.8,9.4,13.0,7.8,23000000000.0,0.08199999999999999,2015-07-19 07:06:26,2015,7,7,20.6,-87.6
2015-07-12 22:23:14,31.0N,159.6E,41.0,,,,,22000000000.0,0.079,2015-07-12 22:23:14,2015,7,22,31.0,159.6
2015-07-04 01:40:11,38.6N,103.1E,46.3,49.0,0.9,-40.4,-27.7,56000000000.0,0.18,2015-07-04 01:40:11,2015,7,1,38.6,103.1
2015-06-14 03:03:06,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26.0,71000000000.0,0.22,2015-06-14 03:03:06,2015,6,3,6.3,124.1
2015-06-12 17:03:35,1.3S,32.1W,43.5,,,,,176000000000.0,0.5,2015-06-12 17:03:35,2015,6,17,-1.3,-32.1
2015-06-10 17:43:03,11.5S,161.9W,61.1,,,,,384000000000.0,1.0,2015-06-10 17:43:03,2015,6,17,-11.5,-161.9
2015-06-02 08:44:50,6.4S,142.7W,,,,,,380000000000.0,0.99,2015-06-02 08:44:50,2015,6,8,-6.4,-142.7
2015-05-20 10:20:41,1.0N,172.6E,32.4,,,,,36000000000.0,0.12,2015-05-20 10:20:41,2015,5,10,1.0,172.6
2015-05-18 17:13:51,32.4N,139.1E,29.0,,,,,43000000000.0,0.14,2015-05-18 17:13:51,2015,5,17,32.4,139.1
2015-05-10 07:45:01,46.3S,179.3W,29.6,12.2,11.2,0.9,4.7,143000000000.0,0.42,2015-05-10 07:45:01,2015,5,7,-46.3,-179.3
2015-05-07 20:34:34,21.5S,29.3W,37.0,17.3,-16.2,-5.8,1.4,52000000000.0,0.17,2015-05-07 20:34:34,2015,5,20,-21.5,-29.3
2015-04-30 10:21:01,48.7S,139.1E,26.7,12.9,12.2,-4.2,0.9,105000000000.0,0.32,2015-04-30 10:21:01,2015,4,10,-48.7,139.1
